individual_id,species,temperature_C,metabolic_rate_mlO2_g_hr,sprint_speed_cm_s
L01,Sceloporus occidentalis,15,0.95,42
L02,Sceloporus occidentalis,18,1.10,48
L03,Sceloporus occidentalis,20,1.25,52
L04,Sceloporus occidentalis,22,1.45,58
L05,Sceloporus occidentalis,25,1.65,65
L06,Sceloporus occidentalis,28,1.85,70
L07,Sceloporus occidentalis,30,2.05,68
F01,Lithobates pipiens,10,0.40,35
F02,Lithobates pipiens,12,0.48,40
F03,Lithobates pipiens,15,0.58,45
F04,Lithobates pipiens,18,0.70,52
F05,Lithobates pipiens,20,0.82,58
F06,Lithobates pipiens,22,0.95,62
F07,Lithobates pipiens,25,1.05,65
F08,Lithobates pipiens,28,1.18,60
F09,Lithobates pipiens,30,1.30,55
B01,Parus major,5,2.20,38
B02,Parus major,8,2.35,42
B03,Parus major,10,2.50,46
B04,Parus major,12,2.65,50
B05,Parus major,15,2.80,55
B06,Parus major,18,3.00,60
B07,Parus major,20,3.20,64
B08,Parus major,22,3.40,66
B09,Parus major,25,3.65,62
B10,Parus major,28,3.90,55
T01,Oncorhynchus mykiss,5,0.30,30
T02,Oncorhynchus mykiss,8,0.38,35
T03,Oncorhynchus mykiss,10,0.45,40
T04,Oncorhynchus mykiss,12,0.55,45
T05,Oncorhynchus mykiss,15,0.65,50
T06,Oncorhynchus mykiss,18,0.78,55
M01,Mus musculus,10,3.10,45
M02,Mus musculus,12,3.30,48
M03,Mus musculus,15,3.60,52
M04,Mus musculus,18,3.90,58
M05,Mus musculus,20,4.20,62
M06,Mus musculus,22,4.50,65
M07,Mus musculus,25,4.80,63
M08,Mus musculus,28,5.10,58
M09,Mus musculus,30,5.40,52
M10,Mus musculus,32,5.70,45
