habitat_quality,sex,age,territory_size,body_mass,stress_hormone,parasite_load,offspring_count,foraging_time,survived
high,F,3,586,205,5.04,6,4,13,1
high,M,3,432,168.5,5.56,17,7,54.6,1
high,M,3,476,157,1.3,16,5,43.5,1
medium,M,2,587,185.8,7.95,7,1,54.4,1
high,M,4,591,198.3,2.74,15,2,32.2,1
medium,M,3,539,218.8,3.36,0,4,15.2,1
medium,F,4,490,166,2.6,23,1,17.6,1
medium,F,3,292,117.5,2.71,1,2,8.1,0
high,M,5,637,195.6,1.42,21,2,25.7,1
low,F,4,510,179.8,6.55,8,1,32.1,1
medium,M,6,497,202,1.58,28,0,56.2,1
medium,F,4,476,160.1,7.75,3,3,22.2,1
low,F,3,441,175.2,7,3,3,15.5,1
medium,F,3,435,137.5,1.96,2,7,25.6,0
high,M,4,465,149,2.36,13,4,46.7,1
low,M,3,332,106.7,3.36,4,0,41.2,0
high,M,4,686,202.5,3.01,10,7,32.5,1
high,F,2,494,162.1,4.07,0,2,11.3,1
low,M,4,543,223.1,3.71,10,6,29.1,1
low,M,3,551,181.6,7.05,25,1,75,1
low,F,2,619,234.2,3.51,1,5,24.6,1
low,F,5,391,142,2.04,5,4,27.6,1
high,F,4,385,136.3,3.94,2,5,14.9,0
medium,F,2,515,184.5,1.6,5,2,20.5,1
high,F,3,450,144.6,8.55,1,3,9.5,1
medium,M,3,736,266.2,3.36,7,5,24.1,1
low,F,3,356,106.1,4.93,48,1,54.6,0
medium,M,4,338,141.4,2.37,3,2,43.2,0
high,M,4,562,199.5,2.62,4,0,7.2,1
medium,M,4,574,199.1,13.16,16,0,17.6,1
low,F,4,558,203.9,4.45,10,0,42.2,1
high,M,3,518,163.7,6.8,22,1,63.5,1
high,F,0,540,161.4,1.62,9,0,12.1,1
low,M,4,370,127,1.3,42,0,84.5,0
high,F,4,563,219.2,8.14,24,4,17.6,1
medium,F,4,382,150,8.01,1,7,24.9,1
low,F,2,436,197.5,11.33,8,1,22.3,1
high,F,4,264,84.9,0.68,26,0,8.5,0
low,F,4,387,140.3,3.79,9,1,6.5,0
low,F,2,560,250,5.48,4,1,30.4,1
medium,M,4,556,191.2,6.66,3,0,21.5,1
high,F,6,483,189.7,5.24,35,2,39.4,1
high,M,2,382,156.4,0.22,2,2,14.8,1
low,F,4,622,240.8,9.18,7,2,64.8,1
high,F,3,327,124.7,7.86,17,1,37.9,0
low,F,2,492,192.5,4.46,0,2,7,1
high,F,3,438,121.8,3.37,3,3,26,0
medium,M,4,379,122.3,4.83,6,1,44,0
low,M,3,512,176.5,7.12,11,2,31,1
medium,F,2,404,132.4,3.89,1,1,10.8,0
low,F,3,506,177.9,3.1,5,4,33.6,1
low,F,3,544,150.2,23.07,6,3,28.6,1
high,M,4,550,201.7,1.98,10,0,28.9,1
low,M,4,533,172.2,6.35,9,2,52.5,1
medium,M,3,641,206.4,8.5,20,6,17.7,1
low,F,2,395,136.3,0.99,2,2,42.4,0
low,M,4,657,207.3,10.69,2,3,31.7,1
high,F,2,446,124.1,8.26,7,4,4.2,0
low,F,3,423,160.4,5.12,2,2,18,1
medium,F,4,569,195.1,0.58,12,7,37.8,1
low,F,4,511,114.5,10.51,1,2,13.6,0
high,F,4,570,219.1,0.84,7,7,29.3,1
low,M,4,469,149,6.58,1,4,23.5,1
high,M,3,583,204.1,0.43,38,1,91.7,1
medium,M,2,510,181.9,2.2,9,7,6.2,1
high,F,3,521,160.5,3.08,12,0,31.6,1
medium,F,5,502,145.1,0.75,4,0,15.4,0
medium,M,5,630,243.7,3.36,0,7,12.5,1
high,M,3,353,169.9,8.08,23,4,44.4,1
medium,F,3,337,136.3,1.28,2,6,25.8,0
medium,M,5,519,183.2,0.17,8,5,5.3,1
high,F,4,674,230.7,3.66,4,0,14.8,1
high,F,4,507,184.2,5.53,7,3,25.7,1
low,M,1,453,150.9,10.69,13,2,19.4,1
medium,F,5,327,143.3,9.31,9,4,21.9,1
medium,F,3,606,218.9,8.25,8,3,13.9,1
low,F,4,548,174.2,13.79,1,7,22.2,1
medium,M,4,513,180.5,3.88,3,1,33.2,1
low,F,5,578,196.5,7.83,3,1,12,1
low,M,5,417,148.7,7.39,19,1,91.2,1
medium,F,3,524,201.3,1,1,3,12.4,1
high,M,4,400,135.5,2.75,7,1,22.9,0
high,M,1,614,221.2,4.05,0,4,12.1,1
low,M,3,301,115.5,1.86,15,1,12,0
medium,M,4,497,172.5,3.75,0,0,20.1,1
low,F,3,479,184.7,0.83,11,0,54.8,1
medium,F,2,401,146.1,4.23,0,2,24.5,1
low,F,4,459,137.6,2.68,7,2,18.5,0
high,M,4,448,134.5,5.88,0,2,26.5,0
high,F,2,398,137.5,2.03,5,2,21.3,0
medium,F,2,329,107.4,3.63,7,1,18,0
high,M,5,678,204.8,1.03,11,2,19.7,1
low,F,3,345,111.8,7.3,17,3,68.8,0
medium,F,2,481,130.4,0.32,7,4,20.1,0
medium,M,4,487,161.6,6.24,11,1,23.5,1
high,F,3,391,135.5,1.67,3,4,15.7,0
medium,M,4,517,173.3,4.33,9,1,29.9,1
low,M,4,380,135.8,4.89,10,1,4.3,0
high,M,3,494,181,3.67,5,4,26.9,1
high,F,2,331,115,12.63,1,4,19.4,0
high,F,6,438,164.3,0.8,10,2,29.7,1
medium,F,4,536,165.8,6.6,6,4,24.1,1
medium,F,4,254,113.5,6.59,17,0,34.2,0
high,M,2,479,170.3,5.08,13,7,22.6,1
low,F,5,555,186.6,5.26,14,2,42.8,1
low,F,3,532,167.5,2.34,3,0,9.4,1
high,F,3,569,230.2,4.1,6,4,20.7,1
medium,F,5,397,151.1,8.17,4,0,86.1,1
medium,M,3,483,173.1,2.07,1,5,32.1,1
medium,M,5,424,99.5,5.15,13,1,41.4,0
medium,F,4,474,127,10.56,10,2,13.8,0
medium,M,3,595,200.5,12.19,4,5,17.5,1
medium,F,4,472,183.5,4.15,5,2,8.8,1
high,F,3,376,137.9,3.48,16,1,26.3,0
medium,F,4,523,161,0.61,7,2,13.1,1
low,M,3,605,199.7,2.49,1,1,25.8,1
medium,F,4,494,161.4,2.97,8,4,9.9,1
medium,F,2,446,161,5.62,1,3,14.2,1
medium,F,4,485,150.8,2.24,9,2,16.9,1
high,M,5,459,145.9,2.5,5,1,20.1,1
medium,F,4,501,179.9,2.12,1,3,8.5,1
high,F,5,575,217.1,2.18,4,3,13.9,1
medium,M,2,536,217,5.24,10,3,24.3,1
high,F,3,441,163.5,2.37,7,3,17.4,1
low,F,4,581,189,5.7,27,6,108.1,1
high,F,4,473,139.1,1.6,14,2,27.3,0
high,M,2,452,142.9,3.37,32,1,62.3,0
high,M,2,488,194.1,5.72,13,3,52,1
low,F,3,513,160.7,5.64,41,1,89.4,1
high,F,4,510,188,1.71,31,2,89.3,1
high,F,3,387,135.2,3.39,17,2,23.5,0
medium,M,4,512,194.2,3.6,10,0,43.7,1
medium,F,3,514,175.9,3.93,3,2,21.5,1
medium,M,3,486,155.2,0.34,17,3,54.2,1
high,F,4,558,178.5,3.86,9,7,15.1,1
high,M,5,505,177.6,0.56,2,3,26.1,1
high,F,4,356,146.6,5.8,21,5,25.2,1
medium,F,3,277,138.9,5.23,14,1,44,0
low,F,3,743,276.8,19.73,2,7,15.9,1
medium,M,4,594,230.3,3.4,18,3,27.7,1
low,M,2,509,154.1,5.45,10,0,25.5,1
high,F,4,440,170.1,3.24,25,4,84.6,1
high,F,2,430,144.2,3.17,4,0,15.4,1
medium,M,3,557,182,2.73,5,4,5.8,1
low,F,3,405,147,9.6,1,1,28,1
