"cell_type","length_um","metabolic_rate_pmol_min"
"epithelial",27.55,0.9
"epithelial",37.94,1.12
"epithelial",43.59,1.6
"epithelial",19.58,0.7
"epithelial",39,1.13
"epithelial",39.54,1.48
"epithelial",31.98,0.98
"epithelial",32.17,0.77
"epithelial",32.05,0.81
"epithelial",29.77,0.92
"epithelial",32.66,0.82
"epithelial",29.01,0.94
"epithelial",30.57,0.92
"epithelial",36.45,1.03
"epithelial",42.72,1.24
"epithelial",35.23,1.24
"epithelial",32.42,1.48
"epithelial",29.62,1
"epithelial",30.14,0.94
"epithelial",52.91,1.63
"epithelial",36.94,1.54
"epithelial",32.57,1.06
"epithelial",32.92,0.96
"epithelial",39.22,0.6
"epithelial",31.14,1.4
"epithelial",25.86,0.77
"epithelial",40.02,0.8
"epithelial",28.83,1.78
"epithelial",35.89,1.14
"epithelial",29.45,1.01
"epithelial",43.72,0.36
"epithelial",32.67,1.02
"epithelial",31.03,1.28
"epithelial",32.49,1.15
"epithelial",24.6,1.18
"epithelial",27.83,1.49
"epithelial",20.74,1.18
"epithelial",26.61,0.86
"epithelial",33.94,1.24
"epithelial",32.74,0.99
"epithelial",46.15,0.99
"epithelial",28.52,0.29
"epithelial",30.01,0.82
"epithelial",34.04,1.19
"epithelial",29.04,1.56
"epithelial",29.22,1.14
"epithelial",28.25,1.16
"epithelial",27.24,0.75
"epithelial",32.33,1.09
"epithelial",32.52,0.5
"neuron",45.82,3.39
"neuron",82.54,4.47
"neuron",66.73,3.74
"neuron",69.55,3.96
"neuron",95.13,2.61
"neuron",116.89,3.46
"neuron",149.43,5.48
"neuron",76.8,2.41
"neuron",148.18,4.26
"neuron",65.27,3.68
"neuron",119.7,4.76
"neuron",176.47,3.78
"neuron",98.96,3.82
"neuron",79.91,1.96
"neuron",99.77,3.99
"neuron",153.31,3.36
"neuron",65.84,3.15
"neuron",141.03,2.78
"neuron",139.89,4.33
"neuron",110.09,4.39
"neuron",100.21,3.41
"neuron",86.34,5.19
"neuron",89,4.19
"neuron",119.45,4.73
"neuron",162.11,6.16
"neuron",95.4,3.05
"neuron",58.28,3.91
"neuron",78.29,4.35
"neuron",107.75,3.74
"neuron",90.49,3.89
"neuron",94.67,2.72
"neuron",94.9,4.07
"neuron",58.83,2.69
"neuron",94.79,4.38
"neuron",125.51,3.08
"neuron",120.93,4.14
"neuron",116.5,3
"neuron",87.92,3.36
"neuron",94.25,2.22
"neuron",64.16,3.44
"neuron",98.41,4.58
"neuron",107.66,3.91
"neuron",151.18,2.24
"neuron",130.05,3.29
"neuron",85.13,5.03
"neuron",110.67,5.47
"neuron",65.96,2.37
"neuron",126.35,3.52
"neuron",129.19,4.23
"neuron",163.63,4.4
"muscle",34145.24,15.22
"muscle",25252.82,15.47
"muscle",30659.93,14.05
"muscle",24975.22,15.47
"muscle",21740.01,13.99
"muscle",31669.89,16.03
"muscle",21037.35,18.9
"muscle",31681.85,17.22
"muscle",33549.68,13.66
"muscle",29478.95,9.65
"muscle",28040.65,14.71
"muscle",23509.3,11.78
"muscle",18902.33,17.58
"muscle",38492.74,8.21
"muscle",30223.63,12.02
"muscle",38311.41,15.17
"muscle",17557.12,12.22
"muscle",31690.26,11.43
"muscle",36731.66,12.62
"muscle",29737.24,15.5
"muscle",28086.08,16.3
"muscle",22180.93,15.16
"muscle",50581.62,22.08
"muscle",37505.01,17.71
"muscle",48242.08,15.03
"muscle",30800.6,11.22
"muscle",23685.91,22.65
"muscle",14867.12,14.6
"muscle",23639,10.85
"muscle",32263.02,14.13
"muscle",40136.9,12.66
"muscle",32527.5,12.58
"muscle",18280.52,9.78
"muscle",36687.14,14.06
"muscle",13498.99,13.35
"muscle",26341.48,9.67
"muscle",26838.82,2.54
"muscle",10517.54,11.27
"muscle",39200.58,13.85
"muscle",23771.28,15.05
"muscle",26659.63,13.44
"muscle",43951.48,15.33
"muscle",36366.74,9.91
"muscle",28915.68,15.73
"muscle",35137.63,16.05
"muscle",33992.72,14.42
"muscle",46628.56,18.72
"muscle",32758.93,14.88
"muscle",35062.73,14.5
"muscle",33475.52,14.45
