"treatment","sex","cortisol_ng_ml"
"Control","F",7.22
"Heat stress","F",17.63
"Diet restriction","F",29.76
"Control","M",3.59
"Heat stress","M",8.24
"Diet restriction","M",12.12
"Control","F",7.69
"Heat stress","F",36.47
"Diet restriction","F",35.51
"Control","M",8.96
"Heat stress","M",8.45
"Diet restriction","M",12.47
"Control","F",6.2
"Heat stress","F",22.02
"Diet restriction","F",15.55
"Control","M",4.17
"Heat stress","M",16.01
"Diet restriction","M",20.17
"Control","F",8.65
"Heat stress","F",12.68
"Diet restriction","F",45.41
"Control","M",7.92
"Heat stress","M",10.43
"Diet restriction","M",49.44
"Control","F",16.87
"Heat stress","F",35.87
"Diet restriction","F",29.46
"Control","M",6.49
"Heat stress","M",19.76
"Diet restriction","M",21.47
"Control","F",6.13
"Heat stress","F",23.31
"Diet restriction","F",22.1
"Control","M",4.43
"Heat stress","M",7.3
"Diet restriction","M",19.14
"Control","F",5.18
"Heat stress","F",30.6
"Diet restriction","F",29.98
"Control","M",4.29
"Heat stress","M",15.3
"Diet restriction","M",9.66
"Control","F",7.36
"Heat stress","F",15.7
"Diet restriction","F",31
"Control","M",7.5
"Heat stress","M",17.49
"Diet restriction","M",29.56
"Control","F",8.51
"Heat stress","F",22.58
"Diet restriction","F",24.37
"Control","M",3.93
"Heat stress","M",11.2
"Diet restriction","M",17.54
"Control","F",4.83
"Heat stress","F",26.05
"Diet restriction","F",37.83
"Control","M",5.28
"Heat stress","M",20.61
"Diet restriction","M",16.8
"Control","F",6.02
"Heat stress","F",12.87
"Diet restriction","F",35.43
"Control","M",3.45
"Heat stress","M",7.36
"Diet restriction","M",29.39
"Control","F",6.92
"Heat stress","F",18.4
"Diet restriction","F",20.1
"Control","M",5.07
"Heat stress","M",11.94
"Diet restriction","M",8.46
"Control","F",3.76
"Heat stress","F",15.69
"Diet restriction","F",38.76
"Control","M",4.24
"Heat stress","M",10.41
"Diet restriction","M",11.18
"Control","F",4.21
"Heat stress","F",15.98
"Diet restriction","F",31.86
"Control","M",3.65
"Heat stress","M",22.66
"Diet restriction","M",25.83
"Control","F",13.48
"Heat stress","F",9.95
"Diet restriction","F",20.99
"Control","M",4.42
"Heat stress","M",11.9
"Diet restriction","M",12.58
"Control","F",5.69
"Heat stress","F",22.71
"Diet restriction","F",29.09
"Control","M",4.82
"Heat stress","M",8.47
"Diet restriction","M",29.63
"Control","F",5.81
"Heat stress","F",21.22
"Diet restriction","F",32.43
"Control","M",2.99
"Heat stress","M",7.9
"Diet restriction","M",32.26
"Control","F",9.27
"Heat stress","F",22.4
"Diet restriction","F",22.54
"Control","M",4.08
"Heat stress","M",7.89
"Diet restriction","M",18.88
"Control","F",5.51
