Year,Violent crime (per 100 000),Property crime (per 100 000),,
Canada,United States,Canada,United States,
1998,246,533,"4,158","4,052"
1999,243,490,"3,882","3,744"
2000,245,474,"3,708","3,618"
2001,251,472,"3,638","3,655"
2002,248,461,"3,587","3,631"
2003,258,470,"3,727","3,699"
2004,256,455,"3,559","3,590"
2005,271,462,"3,341","3,513"
2006,285,449,"3,208","3,348"
2007,285,448,"2,964","3,305"
2008,277,432,"2,726","3,234"
2009,230,406,"2,644","3,064"
2010,217,383,"2,452","2,984"
2011,212,362,"2,269","2,912"
2012,203,361,"2,216","2,861"
2013,181,345,"2,040","2,744"
2014,172,338,"2,013","2,593"
2015,179,346,"2,076","2,486"
2016,182,359,"2,082","2,460"
2017,188,349,"2,099","2,365"
2018,191,339,"2,155","2,247"
2019,204,333,"2,220","2,132"
2020,207,356,"1,771","1,954"
2021,218,..not available for a specific reference period,"1,729",..not available for a specific reference period
2022,235,346,"1,969","1,969"
2023,252,334,"1,995","1,906"
