"snow_cm","temp_C","yield_ba"
43.7,7.5,103.8
51.8,-1.9,174.5
41.6,8.7,96.7
66,-15.9,243.9
53.3,-3.7,169.9
41.8,8.3,107.6
54.9,-5.8,181.2
57.4,-6.7,191.7
55.8,-5.7,177.5
46.9,4.1,125.2
65.1,-14.9,240.6
53.9,-4.3,168.6
43.8,6.5,117.1
27.9,21.7,3.3
61.2,-11.9,222.4
49.6,0.6,131.5
49.8,-0.1,146.7
59.4,-9.4,201.3
58.2,-8.2,192.6
55.9,-6.2,185.9
59.2,-9.5,186.8
57.8,-7.9,208.9
50.7,-0.2,136.1
30.1,19.1,28.3
56.2,-5.9,175.1
49.4,0.7,138.6
48.4,2.1,159.9
35.3,14.6,62.4
45.2,5,107.9
54.2,-4,158.3
63.6,-13.9,236.8
49,1.6,141.8
53.9,-3.3,168.3
49.5,0.9,136.4
36.2,14.6,50.1
45.9,4.4,113.5
46.1,3.3,138.3
49.4,0.3,141.1
61,-11.6,204
57.6,-7.9,215.2
48.4,1.3,145.3
47.5,2.6,132.3
57,-7.4,203.8
55.6,-5.5,192
43.1,6.6,103.5
42.9,8,127
53.6,-3.3,168.2
57.7,-7.2,180.5
48.9,1.3,141.2
58.8,-8,202.4
54,-4.3,197.9
43.9,5.9,115
53.4,-2.7,172.9
38.7,11,82.4
64.3,-14.4,233
69.8,-20,269.1
46.3,3.5,136.3
39.6,10.3,108.5
55.7,-5.5,193.7
48.6,1.3,154.2
