"time_min","heart_rate_bpm","fitness_level"
0,171,"Low"
1,165,"Low"
2,155,"Low"
3,144,"Low"
4,142,"Low"
5,140,"Low"
6,132,"Low"
7,130,"Low"
8,119,"Low"
9,119,"Low"
10,118,"Low"
11,113,"Low"
12,119,"Low"
13,107,"Low"
14,104,"Low"
15,108,"Low"
16,104,"Low"
17,99,"Low"
18,100,"Low"
19,88,"Low"
20,94,"Low"
0,175,"Moderate"
1,157,"Moderate"
2,148,"Moderate"
3,138,"Moderate"
4,127,"Moderate"
5,125,"Moderate"
6,115,"Moderate"
7,114,"Moderate"
8,103,"Moderate"
9,101,"Moderate"
10,93,"Moderate"
11,91,"Moderate"
12,91,"Moderate"
13,84,"Moderate"
14,84,"Moderate"
15,82,"Moderate"
16,79,"Moderate"
17,76,"Moderate"
18,76,"Moderate"
19,75,"Moderate"
20,69,"Moderate"
0,172,"High"
1,157,"High"
2,134,"High"
3,122,"High"
4,109,"High"
5,106,"High"
6,91,"High"
7,84,"High"
8,79,"High"
9,77,"High"
10,70,"High"
11,71,"High"
12,69,"High"
13,67,"High"
14,63,"High"
15,61,"High"
16,60,"High"
17,64,"High"
18,58,"High"
19,61,"High"
20,57,"High"
