"","year","species","spill","oil_amount","effort","catch"
"1",2012,"Cod","before",2.68547922357333,46.6661329562109,151.2
"2",2013,"Cod","before",1.71765091430196,51.0275690622803,151.1
"3",2014,"Cod","before",2.18156420566867,48.8887205906557,149.9
"4",2015,"Cod","before",2.31643130248052,50.8882491402251,169.4
"5",2016,"Cod","before",2.2021341615705,52.9409651725075,157.1
"6",2017,"Cod","before",1.94693774195426,53.095804789985,149.3
"7",2018,"Cod","after",10.5103648752706,52.874537245663,127.2
"8",2019,"Cod","after",11.1752940889028,54.0403636397102,120.3
"9",2020,"Cod","after",7.15040482137742,51.5728238207667,143.7
"10",2021,"Cod","after",5.79603746487005,51.9789143465605,157.9
"11",2022,"Cod","after",4.82669266278416,46.6945046004259,132.8
"12",2023,"Cod","after",4.93273928350244,53.5883313656309,153
"13",2024,"Cod","after",0.939091159337493,53.436748710611,165.2
"14",2012,"Herring","before",1.86060561659131,63.509455001724,263.3
"15",2013,"Herring","before",1.93333933180317,43.6894188440514,234.1
"16",2014,"Herring","before",2.31797519903504,51.686281092793,251.4
"17",2015,"Herring","before",1.85787353929196,44.0318746634185,219.4
"18",2016,"Herring","before",0.671772289547612,44.647821292816,256.1
"19",2017,"Herring","before",0.77976653571224,53.123511930985,255.3
"20",2018,"Herring","after",14.8647204200839,48.0168043255798,219.4
"21",2019,"Herring","after",11.6832469016062,53.4908869284765,216.1
"22",2020,"Herring","after",6.27097174883036,51.8587055928709,243.7
"23",2021,"Herring","after",4.70394839571085,51.4316419677525,244.1
"24",2022,"Herring","after",4.82545181825843,44.8766107729045,233.1
"25",2023,"Herring","after",3.98540214931531,49.3762602482001,240
"26",2024,"Herring","after",2.72568063135944,56.8975822055897,241.3
"27",2012,"Flounder","before",1.87136530861554,52.8381029721177,135.6
"28",2013,"Flounder","before",1.11841845740261,48.0356132322326,132.8
"29",2014,"Flounder","before",2.23004867741564,51.0003144203268,126.4
"30",2015,"Flounder","before",1.68000256201994,57.1144482168998,123
"31",2016,"Flounder","before",2.22772506162061,59.1992787148809,143.6
"32",2017,"Flounder","before",2.35241866861441,47.0144311579709,130.8
"33",2018,"Flounder","after",13.2085066572592,52.4134021987491,89.2
"34",2019,"Flounder","after",11.6659650056674,59.5074920045985,92.6
"35",2020,"Flounder","after",7.3755470168691,51.6513520971685,116.4
"36",2021,"Flounder","after",5.24405655807375,54.237652575305,119.6
"37",2022,"Flounder","after",5.35397656459264,54.5694635088146,125.6
"38",2023,"Flounder","after",4.0657937083258,51.0616049104678,110.8
"39",2024,"Flounder","after",4.1182038124506,53.7765799755763,116.5
"40",2012,"Mackerel","before",2.01806130344613,49.8527756045588,213.7
"41",2013,"Mackerel","before",2.10299930010013,48.4306557547104,205.5
"42",2014,"Mackerel","before",1.81947135072567,56.566930116841,215
"43",2015,"Mackerel","before",2.37908161784976,49.0950357917301,220
"44",2016,"Mackerel","before",1.63664758646171,49.8341548369964,204.5
"45",2017,"Mackerel","before",1.31585947779035,55.9843128827605,189.1
"46",2018,"Mackerel","after",12.8111790007464,47.7181579341455,193.5
"47",2019,"Mackerel","after",10.8679434884686,53.2965076242439,208.8
"48",2020,"Mackerel","after",8.68106329496267,46.242275888262,213.5
"49",2021,"Mackerel","after",7.31963968096938,60.3358477461784,193.2
"50",2022,"Mackerel","after",5.52108370248749,53.6317714931296,191.2
"51",2023,"Mackerel","after",1.32832107230366,53.1607733766387,199.5
"52",2024,"Mackerel","after",4.80275210105831,49.8087383600689,189.5
