"habitat_quality","sex","age","territory_size","body_mass","stress_hormone","parasite_load","offspring_count","foraging_time","survived"
"high","F",2.99485871161696,50.121705199651,159.087025231252,3.26059750385722,4,38,3.96130204770194,0
"high","M",2.12953555823546,42.7865966915163,144.334405271224,3.3273728582789,4,53,9.90538042843072,0
"high","M",2.53712095973059,52.1974742967962,216.969984159551,2.73550164457619,6,11,21.4724662499428,1
"medium","M",1.08884874491891,32.1517177677812,110.214928693026,4.49827988872962,0,11,8.14292487081905,1
"high","M",3.36981604371355,52.844095886735,177.5261604755,1.6316812992544,7,14,16.2318541974521,0
"medium","M",2.53771194271863,43.6372650647139,149.212555814648,4.92359212905375,2,17,3.09411773707925,1
"medium","F",3.32195589181663,59.3933989741191,210.502751558323,2.73376514921353,2,44,31.5279615608416,0
"medium","F",2.7159986100709,30.2688950184676,111.047423095533,3.14679641058079,8,1,45.5494338404873,0
"high","M",4.09185644345685,50.4251330930585,192.895357540537,9.85857256800838,6,50,6.51683441895655,0
"low","F",3.16021636274575,47.7909035753754,147.322424083409,3.00958203773078,4,20,12.4747504767478,0
"medium","M",5.70816828440537,59.405236131284,188.736358675864,2.0787951782582,9,14,52.7769557538418,1
"medium","F",3.28628992941417,34.1998889118719,117.891005187996,1.97163250485985,1,22,6.30808304608894,0
"low","F",2.96748974916992,44.5126898493503,148.63908745988,4.47472716605215,3,59,8.12081196916517,1
"medium","F",2.01032198089354,57.1186151736188,161.334378667008,5.64385203651532,3,41,10.4353173981058,1
"high","M",3.21180992808852,56.128736225985,204.347082015174,4.23665529384324,2,11,10.9569509989437,1
"low","M",2.02798246626857,53.5633410759892,180.039539468299,15.1364294680402,0,56,42.5160642479848,0
"high","M",3.5492240139577,52.8857030726888,148.707256063615,12.0927100425393,2,26,6.40679818344241,1
"high","F",1.95097846998832,33.3145828597238,107.373543764125,4.72613720101177,6,49,39.0162444020855,1
"low","M",3.4491339347604,58.5106219717854,150.164818229508,4.51104150691088,31,16,40.711683298168,0
