"visits","fertilized","biomass","area"
2,"0",286.1,1
3,"1",375.8,1.1
0,"0",274.7,0.9
7,"1",423.4,1.1
2,"1",404.2,0.9
0,"0",277.5,1.1
11,"1",371.9,1
1,"1",370.7,1.2
4,"1",395.6,1.2
3,"0",298.3,1.1
4,"1",385.1,0.9
0,"0",299.4,0.9
5,"1",379.1,1
6,"1",407.4,0.9
1,"0",295.5,1
5,"1",410.3,1.1
1,"0",269,0.9
2,"0",311.7,1
1,"0",302.5,1
9,"1",384.3,1.1
4,"1",387.6,1.2
2,"1",370,1.2
4,"1",373.3,1.1
2,"1",359.6,1.2
3,"1",358.6,1
3,"1",386.1,1
8,"1",389,0.9
3,"1",381.1,0.9
0,"0",318.4,0.8
2,"0",341,1
2,"1",370.2,1.1
5,"1",333.8,0.8
4,"1",400.1,0.8
1,"1",365.8,0.9
1,"0",286.2,1.1
5,"0",320.5,1.1
5,"1",374.3,1.2
1,"0",275.6,1
0,"0",303.6,0.8
2,"0",297.2,1.1
0,"0",300.1,1.1
0,"0",307.7,0.9
2,"0",292.6,1
1,"0",312.9,0.9
0,"0",295.6,0.8
2,"0",306.6,1
0,"0",321.9,0.8
0,"0",308.7,0.9
1,"0",293.5,0.8
5,"1",403,1.1
1,"0",319.9,0.9
1,"0",311,0.8
5,"1",384.8,0.8
1,"0",287.4,1.2
5,"1",407.2,1.1
4,"0",288,1.1
3,"0",343.7,1.2
2,"1",410.7,0.8
2,"1",375.3,0.8
3,"0",279.5,1.1
4,"1",365.8,1.1
2,"0",305.1,0.8
1,"0",295.1,1.1
2,"0",293,1.1
3,"1",361,1.1
3,"0",299.1,1
1,"1",364.3,0.9
1,"1",346.6,0.8
1,"1",372.4,1
0,"0",318.4,1
7,"1",368.5,1
3,"1",392.2,1
4,"1",347.6,1.1
2,"0",298.9,0.8
0,"0",310.4,0.9
1,"0",306,1.1
1,"0",302.1,1.1
1,"1",367.2,0.9
0,"0",283,0.9
4,"0",279.5,1.1
