"animal","temp","response_time","trials"
"CX1",14.4,23.84,2
"CX1",19.4,22.28,1
"CX1",18.1,22.33,1
"CX1",15.5,23.59,1
"CX1",20.3,21.12,1
"CX1",18.6,23.54,1
"CX1",17.2,23.15,1
"CX1",19.5,22.05,1
"CX1",19.5,20.82,1
"CX1",19.4,22.39,1
"CX1",19.1,21.42,1
"CX1",18.9,21.62,1
"CX1",17.6,23.32,1
"CX1",17.1,22.65,1
"CX1",17,21.87,1
"CX1",16.4,24.42,1
"CX1",17.3,21.31,1
"CX1",15.2,24.14,1
"CX1",22.1,21.46,1
"CX1",20.2,21.22,1
"CX2",16.8,23.21,1
"CX2",18.3,22.46,1
"CX2",18.1,22.92,1
"CX2",20.6,21.27,1
"CX2",18.9,21.69,1
"CX2",19.6,22.09,1
"CX2",19,22.31,1
"CX2",19,21.2,1
"CX2",21.8,19.44,1
"CX2",18.6,22.1,1
"CX2",22.1,20.01,1
"CX2",16,22.72,1
"CX2",20.2,21.21,1
"CX2",19.3,20.78,1
"CX2",19.5,21.64,1
"CX2",19.8,20.96,1
"CX2",18.1,22.9,1
"CX2",18.4,23.68,1
"CX2",17,22.22,1
"CX2",16.9,23.55,1
"CX3",26.8,22.85,1
"CX3",27.1,22.16,1
"CX3",26.3,22.23,1
"CX3",28.1,22.83,1
"CX3",30.3,19.59,1
"CX3",25.3,22.55,1
"CX3",21.6,23.53,1
"CX3",28.2,22.65,1
"CX3",24.8,23.03,1
"CX3",24.9,22.79,1
"CX3",28.3,23.79,1
"CX3",25.7,22.77,1
"CX3",23.8,23.28,1
"CX3",26.6,22.61,1
"CX3",26,21.67,1
"CX3",26.2,22.88,1
"CX3",27,22.19,1
"CX3",25.5,23.18,1
"CX3",27.5,21.4,1
"CX3",25.8,22.09,1
"CX4",20.9,17.27,1
"CX4",22.5,16.24,1
"CX4",21.2,18.43,1
"CX4",19.6,19.59,1
"CX4",22.6,16.57,1
"CX4",22.3,16.64,1
"CX4",21.4,17.23,1
"CX4",20.8,17.88,1
"CX4",19,19.01,1
"CX4",23,16.59,1
"CX4",19.1,18.43,1
"CX4",24.7,14.8,1
"CX4",23.3,16.96,1
"CX4",19.8,18.09,1
"CX4",18.2,19.66,1
"CX4",18.9,19.02,1
"CX4",20.8,17.2,1
"CX4",19.8,18.84,1
"CX4",19.6,18.7,1
"CX4",18.4,20.27,1
"CX5",20.4,25.37,1
"CX5",18.9,25.52,24
"CX5",17.2,26.44,26
"CX5",19.8,24.72,3
"CX5",22.4,24.17,1
"CX5",19.4,25.94,12
"CX5",21.7,24.69,1
"CX5",17.3,26.19,26
"CX5",20.4,25.22,3
"CX5",21.6,24.53,1
"CX5",21.1,23.78,3
"CX5",20.7,25.43,4
"CX5",19.2,26.14,14
"CX5",18.8,24.94,21
"CX5",18.5,26.84,16
"CX5",20.8,25.44,2
"CX5",18.6,26.7,21
"CX5",19.5,24.94,8
"CX5",20,25.53,3
"CX5",24.2,24.1,1
"CX6",25.6,22.29,1
"CX6",27.3,20.72,1
"CX6",27,21.21,1
"CX6",24.9,20.88,1
"CX6",26.7,20.83,1
"CX6",29.7,20.23,1
"CX6",27.8,20.47,1
"CX6",26.9,21.22,1
"CX6",26,21.31,1
"CX6",22.8,23.28,1
"CX6",29.1,21.15,1
"CX6",23.9,21.89,1
"CX6",28.3,20.5,1
"CX6",30.7,20.72,1
"CX6",24,20.98,1
"CX6",28.3,20.52,1
"CX6",26.3,22.82,1
"CX6",23.7,23.93,1
"CX6",23.8,22.57,1
"CX6",23.7,21.97,1
"CX7",20.8,18.75,1
"CX7",18.9,19.37,1
"CX7",23.2,18.08,1
"CX7",26,14.87,1
"CX7",19.3,19.82,1
"CX7",23.4,17.42,1
"CX7",23.4,16.55,1
"CX7",22.5,18.13,1
"CX7",19.8,18.75,1
"CX7",21.6,18.54,1
"CX7",21.3,19.04,1
"CX7",23,16.65,1
"CX7",21.1,19.16,1
"CX7",23.8,16.46,1
"CX7",21.1,18.64,1
"CX7",23.9,16.82,1
"CX7",19.7,19,1
"CX7",19.3,19.72,1
"CX7",28.3,13.19,1
"CX7",21,18.41,1
"CX8",15.5,21.98,1
"CX8",16.2,19.71,1
"CX8",14,21.22,1
"CX8",16,20.48,1
"CX8",15.7,20.34,1
"CX8",14.5,22.2,1
"CX8",15.1,21.02,1
"CX8",14.9,20.36,1
"CX8",19.2,19.28,1
"CX8",13.5,22.18,1
"CX8",12.7,23.33,1
"CX8",15,20.98,1
"CX8",15.6,22.18,1
"CX8",15.8,21.57,1
"CX8",14,22.4,1
"CX8",12.8,22.19,1
"CX8",17.5,21.79,1
"CX8",14.2,21.95,1
"CX8",13.2,21.37,1
"CX8",14.5,21.82,1
"CX9",16.9,22.29,1
"CX9",19.5,22.37,1
"CX9",17.4,23.06,1
"CX9",18.8,23.28,1
"CX9",16.3,24.42,1
"CX9",17.7,22.77,1
"CX9",16.6,24.16,1
