"fertilizer_mg","plant_height_cm","fruit_count"
41,9.4,4
51.8,15,4
65.9,15.9,4
38.7,10.9,6
49.2,11.3,2
51.3,10.9,4
57.1,13.9,2
47.6,12.8,1
69.8,18.6,3
48.6,13.8,2
54.2,11.8,7
59.8,17,4
46.1,10.8,4
39.6,10.1,3
67.8,17.5,9
26.9,5.9,0
58.8,12.7,3
50.4,12.1,0
60.1,15.1,3
54.3,12.7,2
70.9,16.8,2
38,9.8,5
65.9,16.3,3
69.5,17.8,4
50,12.5,4
25.5,5.5,3
54.8,15,6
44,11.8,2
57.9,15.5,4
52.9,11.8,5
57.4,15.3,4
53.2,11.6,2
60.8,14.7,6
47.2,10.4,3
42.2,8.4,4
44,12.8,1
32.7,7.5,2
41,10,1
44.4,10.7,1
47.5,12.3,2
46.2,13.1,5
30.4,9.3,1
41.6,9.2,2
69,15.9,6
56.2,12.5,7
69.9,16.2,8
46.9,13.7,2
49.1,12.3,3
48.2,11.2,1
38,8.9,2
