"quality_score","price_CAD","acclaim"
7,96.03,56
7.7,64.72,41
8.3,80.33,58
6.8,88.37,55
8.2,81.91,62
8,69.9,47
8.1,73.29,52
9.1,56.7,40
6.8,76.6,43
9.3,56.7,48
7.3,57.19,29
6.9,55.15,23
7.3,60.24,32
8.3,85.81,58
8.2,64.14,40
7.7,68.94,45
7,63.07,38
7.4,78.11,41
9.2,83.97,61
8.2,66.86,41
7.4,79.26,49
7.1,63.92,30
7.8,85.8,57
6.3,79.03,40
7.5,85.26,52
7.3,79.12,45
9.2,73.1,53
9,41.53,32
7.9,59.76,43
6.9,77.22,40
8.9,63.05,43
8.9,65.8,46
8.7,63.79,48
8.7,94.28,73
7.6,59.18,42
8.7,63.2,41
9.3,70.21,56
8,73.24,47
7,72.83,36
8.8,69.25,49
8.8,47.57,29
7.7,75.52,48
9.7,77.76,68
7.2,62.73,28
8.3,80.12,55
5.7,58.56,22
7.8,75.79,43
9.1,60.04,51
7.5,44.13,16
7.1,87.34,48
8.7,80.4,58
7.2,72.15,37
8.3,92.39,68
6.3,45.52,10
6.6,71.92,37
7.5,33.95,11
7,91.66,55
9.4,56.82,51
8.9,50.4,41
7.2,56.84,29
8.6,52.53,36
8.9,40.26,34
8.3,55.15,32
8.4,67.72,48
9.2,83.69,64
7.5,76.12,53
7.6,51.37,26
9,60.36,45
6.7,98.95,61
8.2,76.15,53
8,50.63,26
8.5,109.53,79
9,77.31,60
8.3,82.81,52
8.2,86.33,58
8.7,73.39,53
9.2,71.02,53
8.4,55.23,33
7,50.34,23
7.8,106.96,72
