"species","habitat","region","body_size_mm","dispersal_distance_m"
"anax_walsinghami","Wetland","C",8.4917597705874,25.8364380512298
"anax_walsinghami","Forest","C",9.65445195888386,25.8346507473318
"anax_walsinghami","Wetland","N",6.11208598359021,22.6789083650393
"anax_walsinghami","Wetland","I",7.8940001664471,15.300723880573
"melanoplus_femurrubrum","Forest","C",8.50464932435407,32.5935307955791
"limenitis_arthemis","Grassland","S",6.39437353884681,24.7596526031488
"melanoplus_femurrubrum","Wetland","I",7.17940135935205,13.7460744964656
"melanoplus_femurrubrum","Forest","N",7.25713143763323,24.7982031407598
"anax_walsinghami","Forest","I",12.215766478919,21.1438094705997
"limenitis_arthemis","Forest","S",5.73321109795604,17.5767262452774
"cicindela_patruela","Forest","I",7.16373587091302,8.12697760416764
"limenitis_arthemis","Grassland","N",8.36996666137714,18.3190361640035
"cicindela_patruela","Forest","N",4.49367352436191,6.19814956058306
"limenitis_arthemis","Grassland","I",6.89167879747934,15.3743515805519
"anax_walsinghami","Forest","N",8.99973001423025,22.3328396400487
"anax_walsinghami","Wetland","N",11.6730781761861,41.1286576550314
"melanoplus_femurrubrum","Wetland","S",9.28772575294763,31.6310471966277
"limenitis_arthemis","Grassland","N",6.68179011763731,25.4686294311348
"melanoplus_femurrubrum","Grassland","C",7.64462195433029,25.454506595765
"melanoplus_femurrubrum","Wetland","C",6.17162154001696,12.4520910091041
"cicindela_patruela","Forest","I",5.75730174260268,8.30913978787254
"cicindela_patruela","Wetland","C",4.67719138555924,11.8316214468797
"anax_walsinghami","Forest","S",7.08699224830549,26.0336263433627
"anax_walsinghami","Wetland","N",6.65119626371599,30.1664972221483
"cicindela_patruela","Forest","S",7.45624492320604,22.1458138574876
"limenitis_arthemis","Wetland","I",8.83519299254195,13.2582586218784
"anax_walsinghami","Grassland","N",8.13978516181091,39.4022990447857
"cicindela_patruela","Forest","C",4.5619750305822,17.4567027387161
"anax_walsinghami","Grassland","S",8.8287828899338,34.3697113271604
"anax_walsinghami","Forest","I",15.8073642517406,20.091592597982
"limenitis_arthemis","Forest","C",11.1376169431466,26.0711142651006
"melanoplus_femurrubrum","Forest","S",4.80688812754767,13.674354982818
"limenitis_arthemis","Grassland","S",6.11517468866222,26.3750885115455
"limenitis_arthemis","Wetland","S",9.80919413633651,24.5662225819508
"cicindela_patruela","Grassland","N",5.99208226852283,36.2306580431095
"melanoplus_femurrubrum","Wetland","C",11.0160501136082,20.075816063349
"anax_walsinghami","Grassland","S",8.3028900390562,30.3895783783095
"melanoplus_femurrubrum","Forest","I",8.59556593185883,13.3146609680039
"limenitis_arthemis","Wetland","I",7.07141293859084,11.689872986975
"melanoplus_femurrubrum","Forest","S",16.5645914809647,41.816525148281
"cicindela_patruela","Forest","S",7.61494787813821,23.7493454832071
